rank,name3,count,length
331,gilbert,107,7
332,arnold,107,6
333,clyde,106,5
334,hampton,106,7
335,dean,106,4
336,creek,106,5
337,charlotte,106,9
338,pitt,105,4
339,magnolia,105,8
340,day,105,3
341,sinclair,105,8
342,crawford,104,8
343,cox,104,3
344,osborne,104,7
345,barry,104,5
346,fairview,104,8
347,rogers,103,6
348,forbes,103,6
349,currawong,103,9
350,hayes,103,5
351,burton,103,6
352,hay,102,3
353,owen,102,4
354,seventh,102,7
355,richard,101,7
356,centre,101,6
357,laurel,101,6
358,parkview,101,8
359,the avenue,100,10
360,jubilee,100,7
361,holmes,100,6
362,shannon,100,7
363,reynolds,100,8
364,ibis,100,4
365,barker,100,6
366,perry,100,5
367,corella,99,7
368,stephen,99,7
369,range,99,5
370,michael,99,7
371,myall,99,5
372,chapel,99,6
373,hilltop,98,7
374,tasman,98,6
375,eyre,98,4
376,peter,98,5
377,tower,98,5
378,brisbane,98,8
379,edith,97,5
380,bishop,97,6
381,link,97,4
382,powell,97,6
383,manning,97,7
384,price,97,5
385,grange,97,6
386,little,96,6
387,pearce,96,6
388,dixon,96,5
389,chester,96,7
390,willis,96,6
391,poplar,96,6
392,lucas,95,5
393,castle,95,6
394,princess,95,8
395,sutton,95,6
396,junction,95,8
397,elliot,95,6
398,new,95,3
399,memorial,95,8
400,melrose,95,7
401,byron,94,5
402,rosewood,94,8
403,davidson,94,8
404,ann,94,3
405,fitzgerald,94,10
406,highland,94,8
407,mahogany,93,8
408,craig,93,5
409,talbot,93,6
410,birdwood,93,8
411,mimosa,93,6
412,fletcher,93,8
413,orana,93,5
414,hart,93,4
415,foster,93,6
416,jasmine,92,7
417,anthony,92,7
418,carter,92,6
419,caroline,92,8
420,pelican,92,7
421,reservoir,92,9
422,avon,92,4
423,cherry,91,6
424,marine,91,6
425,barnes,91,6
426,jarrah,91,6
427,middle,91,6
428,berry,91,5
429,homestead,91,9
430,wilga,91,5
431,hudson,91,6
432,bedford,91,7
433,curlew,90,6
434,harold,90,6
435,curtis,90,6
436,sheoak,90,6
437,warwick,90,7
438,helen,90,5
439,redgum,90,6
440,morrison,90,8
441,albion,90,6
442,bent,90,4
443,deakin,89,6
444,dunn,89,4
445,mcleod,89,6
446,french,89,6
447,durham,89,6
448,rowe,89,4
449,peel,89,4
450,bellbird,88,8
451,heritage,88,8
452,smiths,88,6
453,lorikeet,88,8
454,queens,88,6
455,percy,88,5
456,sussex,88,6
457,patrick,88,7
458,sunrise,87,7
459,joseph,87,6
460,mark,87,4
461,vine,87,4
462,sandpiper,87,9
463,victor,87,6
464,vernon,87,6
465,pearson,87,7
466,andrews,87,7
467,wharf,87,5
468,meadow,87,6
469,woodland,87,8
470,jordan,87,6
471,sanctuary,87,9
472,drummond,86,8
473,fox,86,3
474,newman,86,6
475,clifford,86,8
476,logan,86,5
477,freeman,86,7
478,hopkins,86,7
479,giles,86,5
480,gloucester,85,10
481,opal,85,4
482,dalton,85,6
483,hunt,85,4
484,coronation,85,10
485,angus,85,5
486,mount,85,5
487,hastings,84,8
488,adam,84,4
489,cumberland,84,10
490,porter,84,6
491,blaxland,84,8
492,mckay,84,5
493,mackay,84,6
494,osprey,84,6
495,emma,84,4
496,honeysuckle,84,11
497,centenary,84,9
498,commercial,84,10
499,mclean,84,6
500,paul,84,4
501,holland,84,7
502,dale,83,4
503,village,83,7
504,griffiths,83,9
505,blair,83,5
506,amaroo,83,6
507,derby,83,5
508,power,83,5
509,jamieson,82,8
510,kendall,82,7
511,lakeview,82,8
512,miles,82,5
513,allan,82,5
514,grove,82,5
515,brook,82,5
516,noble,82,5
517,stafford,82,8
518,ronald,82,6
519,nicholas,82,8
520,seymour,82,7
521,taylors,82,7
522,parsons,81,7
523,robin,81,5
524,edinburgh,81,9
525,tennyson,81,8
526,surrey,81,6
527,paterson,81,8
528,daly,81,4
529,bowman,81,6
530,ivy,80,3
531,daniel,80,6
532,jane,80,4
533,banks,80,5
534,thornton,80,8
535,outlook,80,7
536,parkes,80,6
537,settlers,80,8
538,avoca,80,5
539,stevens,80,7
540,hardy,80,5
541,brighton,80,8
542,gardenia,79,8
543,maitland,79,8
544,augusta,79,7
545,bottlebrush,79,11
546,wilkinson,79,9
547,parkside,79,8
548,ada,79,3
549,kestrel,79,7
550,emu,79,3
551,samuel,79,6
552,redwood,79,7
553,gardiner,79,8
554,greenwood,78,9
555,peppermint,78,10
556,cliff,78,5
557,derwent,78,7
558,orchid,78,6
559,kensington,78,10
560,lancaster,78,9
561,field,78,5
562,ramsay,78,6
563,burnett,78,7
564,shirley,78,7
565,wren,78,4
566,mcintyre,77,8
567,beech,77,5
568,nolan,77,5
569,hawkins,77,7
570,rifle range,77,11
571,bradley,77,7
572,torrens,77,7
573,brolga,77,6
574,morton,77,6
575,belmore,77,7
576,kerr,77,4
577,koala,77,5
578,calder,77,6
579,drysdale,77,8
580,bligh,77,5
581,teal,76,4
582,essex,76,5
583,mallee,76,6
584,ryans,76,5
585,lynch,76,5
586,belmont,76,7
587,keith,76,5
588,atkinson,76,8
589,marsh,76,5
590,long,76,4
591,dennis,76,6
592,matthews,76,8
593,earl,76,4
594,denison,76,7
595,violet,76,6
596,preston,76,7
597,grey,76,4
598,summit,76,6
599,aberdeen,76,8
600,camp,76,4
601,enterprise,75,10
602,abbott,75,6
603,nash,75,4
604,edgar,75,5
605,page,75,4
606,evelyn,75,6
607,raglan,75,6
608,st andrews,75,10
609,webster,75,7
610,pearl,75,5
611,weir,75,4
612,middleton,75,9
613,hammond,74,7
614,montgomery,74,10
615,charlton,74,8
616,burgess,74,7
617,chestnut,74,8
618,marion,74,6
619,jenkins,74,7
620,springfield,74,11
621,water,74,5
622,the crescent,74,12
623,flora,74,5
624,baxter,74,6
625,sapphire,74,8
626,plover,73,6
627,joyce,73,5
628,ellen,73,5
629,grosvenor,73,9
630,emily,73,5
631,matthew,73,7
632,sarah,73,5
633,lang,73,4
634,moss,73,4
635,lagoon,73,6
636,doyle,73,5
637,dover,73,5
638,carlisle,72,8
639,highview,72,8
640,tudor,72,5
641,malcolm,72,7
642,melville,72,8
643,ashton,72,6
644,victory,72,7
645,hartley,72,7
646,diamond,72,7
647,coleman,72,7
648,ascot,72,5
649,hicks,72,5
650,hopetoun,72,8
651,elliott,72,7
652,lambert,72,7
653,mawson,71,6
654,susan,71,5
655,primrose,71,8
656,neville,71,7
657,bank,71,4
658,dolphin,71,7
659,booth,71,5
660,canterbury,71,10
661,coolibah,71,8
662,falcon,71,6
663,patricia,71,8
664,montrose,71,8
665,cole,71,4
666,waterview,71,9
667,buchanan,71,8
668,peters,71,6
669,barwon,70,6
670,billabong,70,9
671,stone,70,5
672,kitchener,70,9
673,chisholm,70,8
674,wade,70,4
675,payne,70,5
676,winston,70,7
677,amber,70,5
678,saunders,70,8
679,clare,70,5
680,sunnyside,70,9
681,eucalyptus,70,10
682,thomson,70,7
683,carey,70,5
684,beaumont,70,8
685,whites,69,6
686,townsend,69,8
687,melbourne,69,9
688,iris,69,4
689,iluka,69,5
690,cecil,69,5
691,mackenzie,69,9
692,palmerston,69,10
693,mcpherson,69,9
694,hogan,69,5
695,stringybark,69,11
696,trafalgar,69,9
697,waterloo,69,8
698,neptune,69,7
699,fuller,68,6
700,olympic,68,7
701,todd,68,4
